Zip	City	State	Timezone	Daylight savings time flag	Latitude	Longitude
						
						
2208	Boston	MA	-5	1	42.339	-70.92
2109	Boston	MA	-5	1	42.361	-71.054
2119	Boston	MA	-5	1	42.325	-71.085
2217	Boston	MA	-5	1	42.339	-70.92
2241	Boston	MA	-5	1	42.339	-70.92
2204	Boston	MA	-5	1	42.339	-70.92
2102	Boston	MA	-5	1	42.339	-70.92
2209	Boston	MA	-5	1	42.339	-70.92
2110	Boston	MA	-5	1	42.357	-71.054
2121	Boston	MA	-5	1	42.307	-71.081
2196	Boston	MA	-5	1	42.339	-70.92
2283	Boston	MA	-5	1	42.339	-70.92
2113	Boston	MA	-5	1	42.365	-71.056
2293	Boston	MA	-5	1	42.339	-70.92
2205	Boston	MA	-5	1	42.35	-71.054
2222	Boston	MA	-5	1	42.368	-71.063
2163	Boston	MA	-5	1	42.368	-71.121
2124	Boston	MA	-5	1	42.287	-71.072
2207	Boston	MA	-5	1	42.339	-70.92
2212	Boston	MA	-5	1	42.446	-71.459
2206	Boston	MA	-5	1	42.339	-70.92
2203	Boston	MA	-5	1	42.361	-71.06
2104	Boston	MA	-5	1	42.339	-70.92
2128	Boston	MA	-5	1	42.378	-71.026
2295	Boston	MA	-5	1	42.339	-70.92
2108	Boston	MA	-5	1	42.358	-71.064
2120	Boston	MA	-5	1	42.332	-71.097
2210	Boston	MA	-5	1	42.348	-71.045
2297	Boston	MA	-5	1	42.339	-70.92
2122	Boston	MA	-5	1	42.296	-71.055
2215	Boston	MA	-5	1	42.347	-71.102
2105	Boston	MA	-5	1	42.339	-70.92
2107	Boston	MA	-5	1	42.339	-70.92
2112	Boston	MA	-5	1	42.339	-70.92
2216	Boston	MA	-5	1	42.339	-70.92
2201	Boston	MA	-5	1	42.339	-70.92
2211	Boston	MA	-5	1	42.339	-70.92
2111	Boston	MA	-5	1	42.35	-71.061
2101	Boston	MA	-5	1	42.371	-71.027
2133	Boston	MA	-5	1	42.339	-70.92
2117	Boston	MA	-5	1	42.339	-70.92
2127	Boston	MA	-5	1	42.335	-71.046
2114	Boston	MA	-5	1	42.362	-71.068
2103	Boston	MA	-5	1	42.339	-70.92
2202	Boston	MA	-5	1	42.361	-71.062
2123	Boston	MA	-5	1	42.339	-70.92
2106	Boston	MA	-5	1	42.354	-71.073
2199	Boston	MA	-5	1	42.347	-71.082
2125	Boston	MA	-5	1	42.317	-71.058
2266	Boston	MA	-5	1	42.339	-70.92
2284	Boston	MA	-5	1	42.339	-70.92
2118	Boston	MA	-5	1	42.339	-71.073
2116	Boston	MA	-5	1	42.35	-71.074
2115	Boston	MA	-5	1	42.343	-71.093
